Naam;Aanbod;Keuken;Dieet;Take-away opties;Tekstveld;Adres;Postcode;Gemeente;Telefoonnummer;Link;Image name;Image URL;E-mail;Column 15;Column 16;Column 17;Omschrijving voor paasactie;Link;image_path
Mana;"Gezond;Lunch";Mediterraans;"Veganistisch;Vegetarisch";;"Eerlijke, biologische, ecologische, seizoensgebonden en lokale voeding voor elke dag en iedereen.
Dagelijks bieden we verse soep, een evenwichtige schotel en dessert of taart aan.";Kortriijksepoortstraat 220;9000;Gent;0472500982;https://mana.gent;Mana.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/550fdc7b84f6ee2ce73c8bf26a3fe61d;gwendeconinck@hotmail.com;0472500982;;;;https://mana.gent;https://stad.gent/sites/default/files/webform/horeca/12067/mana.jpg
Mastel;"Ontbijt en brunch;Lunch;Zoet";Belgisch;;;Brood, zoetigheden, lunch en brunchboxen;Tondelierlaan 25;9000;Gent;092302359;https://www.mastel.be/;Mastel.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/08da5aae7ca82f8c93ce291fe9eb1363;;;;;;https://www.mastel.be/;https://stad.gent/sites/default/files/koop_lokaal/Mastel.jpg
Mekkerland;"Dranken;Kindvriendelijk";Belgisch;Veganistisch;;Diervriendelijke kinderboerderij;Zuidbroek 8;9030;Mariakerke;0492 43 27 54;https://www.mekkerland.be/;mekkerland.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/3b4a6402fa7f4a6ef35297dd393985ff;klaas@mekkerland.be;;;;;https://www.mekkerland.be/;https://stad.gent/sites/default/files/webform/horeca/12709/IMG_0032%20%282%29.jpg
Mouss'Tafel;"Gezond;Lunch;Wereldkeuken;Kindvriendelijk";"Marokkaans;Mediterraans";"Halal;Vegetarisch";;"Drie keer al werd Mouss Tafel tot beste Marokkaanse restaurant van Gent verkozen.
Alles wordt klaargemaakt zoals in Marokko; verse ingrediënten en typische kruiden.";Bijlokevest 93;9000;Gent;0487645812;http://mousstafel.be/;mousstafel.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/a78168e717aa5c2d225095548cc2551c;;;;;;http://mousstafel.be/;https://stad.gent/sites/default/files/webform/horeca/8485/mousstafel1.jpg
Mub'art;"Brasserie keuken;Ontbijt en brunch;Tapas";"Belgisch;Frans";;;Zet het weekend goed in en bestel jouw gerechten voor vrijdag, zaterdag of zondag of verwen jezelf à la Belge met een heuse aperobox, een heerlijk menu, healthy saladbowls of aparte gerechten.;Fernand Scribedreef 1;9000;Gent;0476603773;https://www.bongoesta.be/restaurant-mubart;Mub'Art.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2496f994f1bfbabda5d6a5ea7fa2b08b;;;;;;https://www.bongoesta.be/restaurant-mubart;https://stad.gent/sites/default/files/koop_lokaal/Mub'Art.jpg
Multatuli;"Dranken;Frietjes;Gezond;Lunch;Kindvriendelijk";Belgisch;;;In een authentiek kader in hartje Gent kunt u genieten van een gezellig glas en een lekkere hap: (h)eerlijke keuken & uitgebreide bier-en wijnkaart.;Huidevetterskaai 40;9000;Gent;09 223 07 11;http://www.eetkaffee-multatuli.be/;multatuli.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/a34af65cc33620cf68b7b0a23a7a8782;info@eetkaffee-multatuli.be;;;;;http://www.eetkaffee-multatuli.be/;https://stad.gent/sites/default/files/webform/horeca/12703/overzicht%20multatuli.jpg
Namaste Indian Restaurant;Wereldkeuken;Indiaas;;;Nepalees en Indische keuken;Groentenmarkt 18;9000;Gent;092789075;https://www.namastegent.be/;NamasteIndianRestaurant.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c309759bd97a7e8e1015db5b839b4c81;;;;;;https://www.namastegent.be/;https://stad.gent/sites/default/files/koop_lokaal/NamasteIndianRestaurant.jpg
Nana Café;"Dranken;Zoet";Belgisch;;;Specialty barista coffee, Artisanale thee & andere drankjes, huisgemaakt gebak op basis van geredde bananen;Sint-Pietersaalststraat 1;9000;Gent;0485458168;https://www.facebook.com/Nanacafegent;NanaCafe.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/684f5b328343b69de84db79355de7655;;;;;;https://www.facebook.com/Nanacafegent;https://stad.gent/sites/default/files/koop_lokaal/NanaCafe.jpg
Noedelbar Ramen;Noedels;Japans;;;Japanse huisbereide noedelsoepen, Japanse home style gerechten en Japanse hapjes;Oudburg 51;9000;Gent;0494201125;https://www.ramen.gent/;NoedelbarRamen.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/aba3b4b93fc48cfc0aef296168fcb95b;;;;;;https://www.ramen.gent/;https://stad.gent/sites/default/files/koop_lokaal/NoedelbarRamen.jpg
Otomat;Pizza;Belgisch;;;Belgisch pizza concept waar pizza’s delen centraal staat. Kenmerkend en Belgisch is het “beerish” karakter.;Kleine Vismarkt 3;9000;Gent;092780404;https://otomat.be/;Otomat.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/4f11cbcfe10f411df7ff25acc93f8ccb;;;;;;https://otomat.be/;https://stad.gent/sites/default/files/koop_lokaal/Otomat.jpg
Oud Gemeentehuis;"Brasserie keuken;Lunch;Tapas;Kindvriendelijk";Belgisch;;;Dagschotels, salades, burgerbox, tapasplank;Heerweg-Noord 2;9052;Zwijnaarde;092224231;https://oudgemeentehuis.com/;OudGemeentehuis.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/0ce4387fdad7aa9caaf1af9dfeae5cb3;;;;;;https://oudgemeentehuis.com/;https://stad.gent/sites/default/files/media/images/OudGemeentehuis.jpg
Parole Winebar & co;Dranken;Mediterraans;Vegetarisch;;In het hartje van Gent kan je bij ons terecht voor een goede fles wijn of heerlijke bubbels.;Bennesteeg 9;9000;Gent;0477375297;www.parole.gent;ParoleWinebar&co.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/eeea90be1be60aa071c2dce9e1774980;;;;;;www.parole.gent;https://stad.gent/sites/default/files/webform/horeca/8778/B%26B%20MARGOT%20-%20WIJNBAR%20PAROLE-232.jpg
Pastabar pomodoré;"Pasta;Zomerwedstrijd";Italiaans;;;Huisgemaakte pasta, ravioli en lasagne;Kasteellaan 487;9000;Gent;0473262814;http://www.pomodore.gent/takeaway/;PastabarPomodore.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5da6624b96d338825062b9ddc0da421a;;;;;;http://www.pomodore.gent/takeaway/;https://stad.gent/sites/default/files/koop_lokaal/PastabarPomodore.jpg
Pizza Factory;Wereldkeuken;Italiaans;;;Pizzeria- antipasteria- focacceria - mozzarellabar bereid met Italiaanse, dagverse producten.;Vlaanderenstraat 11;9000;Gent;0485880727;https://www.pizzafactoryitaliano.com/;PizzaFactory.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/3c5bcda8da89265f72a1e0f3d6611711;;;;;;https://www.pizzafactoryitaliano.com/;https://stad.gent/sites/default/files/koop_lokaal/PizzaFactory.jpg
Pizza Golosa;"Pizza;Kindvriendelijk";Italiaans;;;Genieten van de authentieke Noord-Italiaanse keuken, gewoon in Groot-Gent? Breng een bezoek aan Pizza Golosa te Oostakker. Onder het genot van een heerlijk wijntje smult u in ons kindvriendelijke restaurant van echte Italiaanse pizza’s.;Sint-Laurentiuslaan 26;9041;Oostakker;0483 40 01 48;http://www.pizzagolosa.be/;pizzagolosa.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d418b2f73ce9cc9144f0cc3f45a9606b;info@pizzagolosa.be;;;;;http://www.pizzagolosa.be/;https://stad.gent/sites/default/files/webform/horeca/12646/38_Pizza%20Golosa_overzicht.JPG
Publiek;"Brasserie keuken;Lunch";Belgisch;;;Hartverwarmende en eenvoudig te bereiden gerechten binnen de gezelligheid van je eigen thuis.;Ham 39;9000;Gent;093300486;http://bit.ly/publiekgent;Publiek.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/df86c2a2538f481de2f55655c21b5b16;;;;;;http://bit.ly/publiekgent;https://stad.gent/sites/default/files/koop_lokaal/Publiek.jpg
RAY;"Dranken; Ontbijt en brunch;Kindvriendelijk";"Belgisch;Frans;Italiaans";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;"Hybride eventlocatie in het historische hart van Gent.
Een koffie- en cocktailbar tenmidden van een tropische orangerie.";Klein Turkije 20 B;9000;Gent;;https://www.ray.gent/;RAY.jpg;;tibo@mtmgroup.be;32499612040;;;;https://www.ray.gent/;https://stad.gent/sites/default/files/webform/horeca/11477/RAY%f205.jpg
Restaurant Mub'art;"Dranken;Brasserie keuken;Ontbijt en brunch";Belgisch;Vegetarisch;;Gezellig samen Pasen vieren met het gezin, familie, vrienden, … geen betere manier om samen te genieten van een heerlijke foodbox. ?? ... ontbijt, brunch, lunch of aperobox.;Fernand Scribedreef 1;9000;Gent;0476 60 37 73;https://www.bongoesta.be/afhaal-pasen/;BonGoesta.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/074c57332427d1fa3697a9777387726e;smakelijk@bongoesta.be;0476603773;;;;https://www.bongoesta.be/afhaal-pasen/;https://stad.gent/sites/default/files/webform/horeca/9890/Brunchbox%20pasen%20Bon%20Goesta_01.jpg
Røk;BBQ en grill;Amerikaans;Vegetarisch;;"RØK is een barbecue concept in Hal 16 op de site van Dok Noord.
 Alles met vuur en rook, vlees, vis en groenten gerechten om te delen van op de barbecue. 
 - Texan smoked BBQ
 - Argentinian grill
 - Pure like Scandinavia!";Dok Noord 4b - Hal 16;9000;Gent;;https://www.facebook.com/ROKbarbecue;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/03448fa445073d2b10da937eb82d7590;rok@dbc.gent;900000000;;;;https://www.facebook.com/ROKbarbecue;https://stad.gent/sites/default/files/webform/horeca/6882/123138017_721752072024769_8113779652956051071_o.jpg
Sanraj Food Shop / Rabot Dumpling House;Zomerwedstrijd;;;;;Wondelgemstraat 13A;9000;Gent;;http://dumplinghouse.simplesite.com/448199533;;;;;;;;http://dumplinghouse.simplesite.com/448199533;
Seli's noodlebar;"Noedels;Kindvriendelijk";Chinees;"Veganistisch;Vegetarisch";;Pionier en enigste in gent die compleet handgemaakte Chinese noodles maakt. Verzorgd gestoomd en gefrituurd voorgerechtenaanbod.;Limburgstraat 28;9000;Gent;092235888;https://www.selinoodlebar.be/;Seli'sNoodlebar.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2f65836bb3cb34d06f33944607560ebf;;;;;;https://www.selinoodlebar.be/;https://communicatie-digitaal.gent.be/kooplokaal/Seli'sNoodlebar.jpg
Soep+;"Lunch;Gezond";Belgisch;;;Dagelijks gevarieerd aanbod verse soepen, salades, quiche en dessert.;Lammerstraat 33;9000;Gent;092231688;https://soepplus.be/;;;;;;;;https://soepplus.be/;
Sordo;"Lunch;Gezond;Tapas;Zoet";Belgisch;;;Soepen, quiche, dessert, koffie, tapas.;Lange Steenstraat 2;9000;Gent;0479388980;https://www.soepbarsordo.be/onewebmedia/takeaway%20menu.pdf;Sordo.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5d3e040a1417dbc0bb61e2b625c8512d;;;;;;https://www.soepbarsordo.be/onewebmedia/takeaway%20menu.pdf;https://stad.gent/sites/default/files/koop_lokaal/Sordo.jpg
Souplounge;Lunch;Belgisch;;;Alle dagen 4 verse soepen per liter of halve liter te verkrijgen, belegde broodjes en quiches.;Zuivelbrugstraat 4;9000;Gent;092236203;http://www.souplounge.be/;SoupLounge.jpg;;;;;;;http://www.souplounge.be/;https://stad.gent/sites/default/files/koop_lokaal/SoupLounge.jpg
Spring;"Dranken;Lunch;Ontbijt en brunch";Belgisch;;;Ontbijtkoeken, desserts,koffie, thee, belegde (vegetarische-) broodjes, dagverse soep, (vegetarische-) panini, salades, garnaalkroketten, spaghetti bolognaise;Tentoonstellingslaan 125;9000;Gent;093284425;https://spring.gent/;Spring.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/21df8e16aa5c1c8df8897eb2d2fdcbab;;;;;;https://spring.gent/;https://stad.gent/sites/default/files/koop_lokaal/Spring.jpg
Sushi Plaza;"Sushi;Noedels;Wereldkeuken";"Aziatisch;Japans;Thaïs";;;Sushi, Thai, Noodel, Soup, Salad;Vlaanderenstraat 13;9000;Gent;092788852;https://www.sushiplaza.be/;SushiPlaza.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d788e2079e7bc95215b8b7454c97cf1a;;;;;;https://www.sushiplaza.be/;https://stad.gent/sites/default/files/koop_lokaal/SushiPlaza.jpg
Tapeo;"Gastronomisch;Gezond";"Belgisch;Frans;Mediterraans";;;Huisgemaakte Zuiderse gerechten met een Belgische touch;Landbouwersstraat 26;9000;Gent;0468019433;http://www.tapeo.be;Tapeo.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/08a79834fb735dc14baf3bbac8e83ac9;;;;;;http://www.tapeo.be;https://stad.gent/sites/default/files/koop_lokaal/Tapeo.jpg
Ter Burg;"Lunch;Brasserie keuken;Gezinsvriendelijk";"Belgisch;Frans";;;Dagschotels, soep, dessert en weekendmenu;Burgstraat 180;9000;Gent;092230879;http://www.terburggent.com;TerBurg.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b079d3060274863778bdbee0245f1c96;;;;;;http://www.terburggent.com;https://stad.gent/sites/default/files/koop_lokaal/TerBurg.jpg
The Drifter;Dranken;Amerikaans;;;Exotic Tiki-Drinks & Rumpacks;Oudburg 47;9000;Gent;0474744426;http://thedrifter.be;TheDrifter.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/757c787ef6449326b49ad1bea45742d1;;;;;;http://thedrifter.be;https://stad.gent/sites/default/files/koop_lokaal/TheDrifter.jpg
Tokyo Sushi Gent;Sushi;Japans;;;Sushi en aziatische warme gerechten.;Botermarkt 10;9000;Gent;0468250483;http://www.tokyosushi.be;TokyoSushi.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ea83279a798e5d2ff34a48e31b410ded;;;;;;http://www.tokyosushi.be;https://stad.gent/sites/default/files/koop_lokaal/TokyoSushi.jpg
Top Pizza;"Pasta;Pizza";Italiaans;"Halal;Vegetarisch";;Pizza van Zwijnaarde zwintje pizza,Italiaanse pizza en pasta,hotdogs,Chicken...;Dorpsstraat 49;9052;Zwijnaarde;093308448;www.top-pizza.be;TopPizza.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/fa0d9df979c8ae06b512a11f05ef7eb7;toppizzazwijnaarde@hotmail.com;093308448;;;;www.top-pizza.be;https://stad.gent/sites/default/files/webform/horeca/11456/auto.jpg
Uilenspiegel;"Dranken;Brasserie keuken;Lunch;Kindvriendelijk";Belgisch;;;Lunch, tearoom, diner & bar. Bij Uilenspiegel geloven we in gezelligheid, lekker eten, huiselijk genieten, lokaal en ambacht.;Korte Kruisstraat 3;9000;Gent;09 233 89 09;https://www.eetcafe-uilenspiegel.be/;uilenspiegel.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/736ed12d2fec3d59f9c5afb458b5ead1;info@uilenspiegel.gent;;;;;https://www.eetcafe-uilenspiegel.be/;https://stad.gent/sites/default/files/webform/horeca/12700/63_Uylenspiegel_overzicht.JPG
Vrijmoed;Gastronomisch;Belgisch;;;Meergangen-menu puur vegetarisch of vis & vlees voor afhaling op vrijdag en zaterdag;Vlaanderenstraat 22;9000;Gent;092799977;https://www.vrijmoed.be/nl/menu#catering_vrijmoed;Vrijmoed.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/48d730e45599e54f9462fda37cbc1948;;;;;;https://www.vrijmoed.be/nl/menu#catering_vrijmoed;https://stad.gent/sites/default/files/koop_lokaal/Vrijmoed.jpg
Zelda & Zorro;"Dranken;Zoet;Kindvriendelijk";Belgisch;Vegetarisch;;Zelda&Zorro is ontmoeten en onthaasten in een eigentijdse en kidsproof huiskamersetting.;Kompasplein 18;9000;Gent;0476 98 89 40;http://www.zeldazorro.be/;zeldaenzorro.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7e5c783c821b59da846dcb087bfd548d;hello@zeldazorro.be;;;;;http://www.zeldazorro.be/;https://stad.gent/sites/default/files/webform/horeca/12724/BV5A0344.jpg
2BANGKOK THAI;"Brasserie keuken;Gezond;Noedels;Wok;Wereldkeuken";Aziatisch;"Halal;Vegetarisch";;"Welkom bij 2Bangkok

Hier bij 2Bangkok Thai Brasserie bieden we u de mogelijkheid om vele soorten Thaise gerechten te ontdekken, in een warme, intieme en ontspannen omgeving. Iedereen weet dat de Thaise keuken heel divers is.";Grootkanonplein, 5;9000;Gent;0487263994;https://www.2bangkok.be/;2Bankok.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/bc13734f25b71129a6beda4661dd087d;;;;;;https://www.2bangkok.be/;https://stad.gent/sites/default/files/webform/horeca/8982/Paneang%20scampi.jpg
50 fifty;Gastronomisch;Belgisch;Vegetarisch;;Bij 50 fifty staan de seizoenen en lokale producten en leveranciers centraal. Naast onze 3 en 4 gangen take away op zaterdag bieden wij ook enkele toffe formules aan voor de feestdagen, zowel een standaard menu als een lacto ovo vegetarisch menu.;Ottogracht 10;9000;Gent;0478589982;https://50fiftygent.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/66c6409d4e102da34b677e6f67ecb559;wimvandaele11@hotmail.com;478589982;;;;https://50fiftygent.be/;https://stad.gent/sites/default/files/webform/horeca/7135/IMG_5986-copy-scaled.jpg
Alphonsius;"Brasserie keuken;Zoet;Kindvriendelijk";"Belgisch;Frans";;;;Antwerpsesteenweg 642;9040;Sint-Amandsberg;09 278 28 39;http://www.alphonsius.be;Alphonsius.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d7b4e514c1c06728f1ed92201c3c45f9;;;;;;http://www.alphonsius.be;https://stad.gent/sites/default/files/koop_lokaal/Alphonsius.jpg
Amatsu;"Sushi;Wereldkeuken";Japans;;;Take-away mogelijk op vrijdag, zaterdag en zondag van 17.30u tot 20.30u. Ons afhaalmenu kunt u vinden op www.amatsu.be en voor thuisbezorging kan u terecht bij UberEats en Takeaway.com.;Hoogpoort 29;9000;Gent;092244706;http://www.amatsu.be;Amatsu.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2c24b433b81dd0e90346c6ee60f3cceb;;;;;;http://www.amatsu.be;https://stad.gent/sites/default/files/koop_lokaal/Amatsu.jpg
Antichi Sapori;"Pasta;Pizza;Tapas;Kindvriendelijk";Italiaans;;;Het concept van ons restaurant is een gezellige, warme plaats te creëren die je direct doet hunkeren naar het Zuiden. We doen dit door onze authentieke antipasti op een voetstuk te plaatsen.;Sint-Pietersnieuwstraat 204;9000;Gent;09 233 33 97;https://Antichisapori.be/;antichisapori.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/84bf307a3856fe9f526c6d5a67dee0d5;antichisaporigent@gmail.com;;;;;https://Antichisapori.be/;https://stad.gent/sites/default/files/webform/horeca/12694/58_Antichi%20Sapori_overzicht.JPG
Apero Door;"Lunch;Tapas";Belgisch;;;Wekelijks keuze tussen 2 soorten soep, een vlees of veggie maaltijd. Op vrijdag en zaterdag mogelijkheid om een Aperobox te bestellen;Binnenweg 26;9050;Ledeberg;0474964600;https://www.facebook.com/AperoDoor/;ApéroDoor.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/805533aa8b6d921f8ec56202bd0e7ced;;;;;;https://www.facebook.com/AperoDoor/;https://stad.gent/sites/default/files/media/images/Apero-Door.jpg
Argenvino;BBQ en grill;Amerikaans;Glutenvrij;;Vanaf 30/1 kan je elke zaterdag een dinnerbox of borrelbox afhalen, eventueel met een lekker flesje wijn. Geniet van de rokerige smaken van gegrild vlees in Argentijnse stijl, gezellig in je huiskamer. Makkelijk af te werken in je oven.;Donkersteeg 26;9000;Gent;092 791 792;http://www.argenvino.be;Argenvinosteak.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/195a542262e4c6941497990a75e2a58e;info@argenvino.be;498616293;;;;http://www.argenvino.be;https://stad.gent/sites/default/files/webform/horeca/8116/Argenvinosteak.JPG
Augustijntje;Brasserie keuken;"Belgisch;Frans";Vegetarisch;;Belgisch-Franse keuken met heerlijke Vlaamse klassiekers. Heerlijk eten tegen democratische prijzen met vriendelijke bediening in een ongedwongen en authentiek kader.;Sint-Margrietstraat 34;9000;Gent;0496 92 44 40;www.augustijntjeresto.be;Augustijntje-binnen-klein.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/6a67bde8834cabb8cbf65a7ac8141681;info@augustijntjeresto.be;0496924440;;;;www.augustijntjeresto.be;https://stad.gent/sites/default/files/webform/horeca/11884/Augustijntje-binnen-klein.jpg
Bakkerij Diva;"Ontbijt en brunch;Zoet";Belgisch;Halal;;;Brusselsesteenweg 356;9050;Ledeberg;092315599;https://stad.gent/sites/default/files/webform/horeca/11453/Diva_Gentbrugge_01-20160907-192613140_0.jpg;BakkerijDiva.jpg;;092315599;;;;;https://stad.gent/sites/default/files/webform/horeca/11453/Diva_Gentbrugge_01-20160907-192613140_0.jpg;patisserie.diva@telenet.be
Bar Beenhouwer;Dranken;Belgisch;;;Take-out van craft bier op blik/fles/cadeaubonnen;Annonciadenstraat 4;9000;Gent;0498445270;;BarBeenhouwer.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/bda46e1c93ce2c27b1be51f5a4accaf7;;;;;;;https://stad.gent/sites/default/files/koop_lokaal/BarBeenhouwer.jpg
Baskuul;"Dranken;Brasserie keuken;Pasta;Zoet;Zomerwedstrijd";Belgisch;;;Huisbereide gerechten met zuiderse toets.;Godshuizenlaan 77;9000;Gent;092333464;https://wwc.resengo.com/indexframe?companyShortCode=Baskuul_Gent&url=pq%2FFsL5gXV3FwLxirI%2BhvZuhwV2JnpdSlZWpwFydv7m%2BwM61nbehoXN2gnmgf3ZnalSAp6N1eodtaISZlJV2emNLinaZf155e6Cbm4dwf3F4n3WUiV6LlKOAjr%2BgpoiLspe%2FdsCZwQ%3D%3D;Baskuul.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e43545266188248fb745c7aba5c3d393;;;;;;https://wwc.resengo.com/indexframe?companyShortCode=Baskuul_Gent&url=pq%2FFsL5gXV3FwLxirI%2BhvZuhwV2JnpdSlZWpwFydv7m%2BwM61nbehoXN2gnmgf3ZnalSAp6N1eodtaISZlJV2emNLinaZf155e6Cbm4dwf3F4n3WUiV6LlKOAjr%2BgpoiLspe%2FdsCZwQ%3D%3D;https://stad.gent/sites/default/files/koop_lokaal/Baskuul.jpg
Basta;"Pasta;Pizza";"Belgisch;Italiaans";;;Stoofpotjes, zelfgemaakte burgers en pasta’s;Zuidstationstraat 2;9000;Gent;093367075;http://www.Bastaresto.com;Basta.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/611e6d6ed12eabd6f5dbcb98eda6827f;;;;;;http://www.Bastaresto.com;https://stad.gent/sites/default/files/koop_lokaal/Basta.jpg
Bij Mia en Maria;"Lunch;Zoet";Belgisch;;;Belegde broodjes, verse soep, salades, paninis, brood, desserts, warme broodjes;Lammerstraat 1;9000;Gent;0494944994;https://bijmiaenmaria.be/;BijMiaenMaria.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8820605e44c8729a1f7047756ef59b54;;;;;;https://bijmiaenmaria.be/;https://stad.gent/sites/default/files/koop_lokaal/BijMiaenMaria.jpg
Bocca;"Dranken;Gezond;Pasta;Zomerwedstrijd";"Belgisch;Italiaans";"Glutenvrij;Veganistisch;Vegetarisch";;Warme pasta gerechten, koude sauzen, soep, desserts. Vegetarisch/Vegan/Glutenvrije gerechten beschikbaar.;Recollettenlei 2;9000;Gent;09 223 97 86;http://www.bocca.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/39deba1601dd9cb5c820f1cc16740578;info@bocca.be;32475466262;;;;http://www.bocca.be/;https://stad.gent/sites/default/files/webform/horeca/7060/16651345_1374325275958755_1920079852_o.jpg
Bodega;"Brasserie keuken;Lunch";Mediterraans;;;Zuiderse gerechten en tapas;Koningin Elisabethlaan, 57;9000;Gent;0474640462;http://www.bodega.gent;Bodega.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/6722f78dd898bff4cf3e188686890c34;;;;;;http://www.bodega.gent;https://stad.gent/sites/default/files/media/images/Bodega.jpg
Boerenhof;"Frietjes;Gezond;Lunch;Pasta;Kindvriendelijk";"Belgisch;Frans";;;Welkom bij Restaurant Boerenhof! Elke dag open vanaf 11u30.;Gentstraat 2;9041;Oostakker;;https://boerenhof.be/HOME.php;Boerenhof.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/370fb140d907a743c54095654f262863;info@boerenhof.be;09 251 03 14;;;;https://boerenhof.be/HOME.php;https://stad.gent/sites/default/files/webform/horeca/12511/67970289_1338487369647617_321430825537110016_n.jpg
Brasserie 't Zuid;"Dranken;Brasserie keuken;Kindvriendelijk";Belgisch;;;Bij ons kan je terecht voor een lekker ontbijt, met koffie, broodjes, kleine lunch en snacks, maar ook verse pannenkoeken, wafels, taart, ...;Woodrow Wilsonplein 4;9000;Gent;09 233 25 65;http://www.gentzuid.be/restaurants/brasserie-t-zuid;brasserietzuid.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8c41f146ade176e4694e5c644149b6ca;brasseriezuid@skynet.be;;;;;http://www.gentzuid.be/restaurants/brasserie-t-zuid;https://stad.gent/sites/default/files/webform/horeca/12697/62_Brasserie%20%27t%20Zuid_overzicht.JPG
Bystrò Jamien;"Dranken;Gastronomisch;Gezond";"Belgisch;Mediterraans";Vegetarisch;;Bystrò Jamien is gelegen in Zwijnaarde. Onze open-ruimte architectuur en stijlvol interieur gecombineerd met de creativiteit van onze chef-kok, Jessica, creëren alvast de ideale eetgelegenheid om te komen genieten van een culinaire reis;Rijvisschestraat , 124;9052;Zwijnaarde;093966070;http://www.bystrojamien.be;BystròJamien.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/23f514c98afee4b5514f21b1d19b3a4e;;;;;;http://www.bystrojamien.be;https://stad.gent/sites/default/files/webform/horeca/8475/Bystro%20Jamien%20LR%20met%20%C2%A9-14.png
Café Marleen;"Lunch;pasta";Belgisch;;;Dagschotel, broodjes, pasta;Smishoekstraat 2;9042;Sint-Kruis-Winkel;0470019385;;CaféMarleen.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ccbf11026b6c13d6b8e8c712db0afbf3;;;;;;;https://stad.gent/sites/default/files/koop_lokaal/CaféMarleen.jpg
