Naam;Image URL;Aanbod;tekstveld (250 karakters);Hoe kan je winkelen;Adres;Postcode;Gemeente;Telefoonnummer;Link;E-mail;Column 12;Column 13;Cityzine;Column 15;Omschrijving;Link;image_path
GOBEYN ELECTRO;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/c6eea3e25df1586dcc40a39585cc2b2b;"Elektronica;Koken en tafelen";"HUISHOUDTOESTELLEN MIELE
AEG
LIEBHERR
BEKO
KLEINHUISHOUD EN KOOKWINKEL";;Groenstraat 76;9041;Oostakker;09/251.06.84;https://WWW.GOBEYN.BE;info@gobeyn.be;0497/38.50.01;;;;;https://WWW.GOBEYN.BE;https://stad.gent/sites/default/files/webform/winkels/9090/Lifestyle%20Wassen%20%20Drogen.png
Goya;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/c505dc142c57558553dbb6f51991d9f8;Dranken en voeding;Specialiteit koffie met homemade Argentijns gebak.;;Verlorenkost 5;9000;Gent;470624639;https://www.goyacoffee.be;info@goyacoffee.be;470624639;;;;;https://www.goyacoffee.be;https://stad.gent/sites/default/files/webform/winkels/7742/128275628_442546383800259_5535927172674819248_n.jpg
Gryson Concept Store;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/a3fb463105b7aa29b15a7a7e1eff22b9;"Accessoires;Beauty";"Gryson Concept Store daar vind je zorgvuldig uitgezochte hair-en beauty producten. Speciaal voor Moederdag hebben wij ook kado bonnen volgens budget .
Fijne mama dag ?????";;Koning Albertlaan 9;9000;Gent;0476623193;https://grysonconceptstore -hair-skin-shave-business.site;grysonconceptstore@outlook.be;476623193;;;;;https://grysonconceptstore -hair-skin-shave-business.site;https://stad.gent/sites/default/files/webform/winkels/11120/image.jpg
Haarstudio Muis;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/9f799296c5eb6a9e8ba26a9a92b8dfa4;"Accessoires;Beauty;Kinderen";Naast het feit dat we een kapsalon zijn, verkopen wij de ideale producten van Schwarzkopf om je haartjes te verzorgen of mooi te maken en leuke haaraccessoires voor de kids, evenals producten tegen luisjes.;;Antwerpsesteenweg 278;9040;Sint-Amandsberg;0477562953;http://www.haarstudiomuis.be;haarstudio.muis@gmail.com;477562953;;;;;http://www.haarstudiomuis.be;https://communicatie-digitaal.gent.be/kooplokaal/HaarstudioMuis.JPG
Hengelsport De Poorter 4.0;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/240a030427d35b0e0bd7eb8f83b0c278;"Hobby en DIY;Sport";"De Hengelsportzaak al meer dan 60 jaar voor en door de vissers. Momenteel al de 4de generatie.
Speciaalzaak voor het totale hengelsportgebeuren in en rond Gent.";;Einde Were 93;9000;Gent;092253462;http://www.hengelsportdepoorter.be;;;;;;;http://www.hengelsportdepoorter.be;https://stad.gent/sites/default/files/webform/winkels/6679/94871186_1968553649944148_9146715937297137664_n.jpg
Het Cooremetershuys;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/3df9fb0b1f0f144fab4d8885c1e73b13;"Accessoires;Juwelen;Wonen";Het is er aangenaam snuisteren in de bijzondere collectie juwelen, het eigenzinnige aanbod handtassen en rugzakken, sierlijke hoeden en handschoenen vaak van de hand van Belgische ontwerpers.;;Graslei 12;9000;Gent;09 225 09 65;https://www.cooremetershuys.be/;info@cooremetershuys.be;477657153;;;;;https://www.cooremetershuys.be/;https://stad.gent/sites/default/files/webform/winkels/7336/IMG_2553.JPG
Het Wijnhuis Gent;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/8cc05a3e043f46c6fc37497251c472ea;Dranken en voeding;Als wijnliefhebber vind je hier zeker je smaak. De meer dan 1000 wijnen komen uit alle hoeken van de wereld met heerlijke klassiekers en verrassende ontdekkingen. Kom zeker eens langs. Het Wijnhuis Gent is gelegen tussen het Centrum en de Dampoort.;;Joremaaie 1;9000;Gent;092233373;http://gent.hetwijnhuis.be;;;;;;;http://gent.hetwijnhuis.be;https://stad.gent/sites/default/files/webform/winkels/6758/HetWijnhuisGent.jpg
HOLY COW chocolate;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/689115ac7d6231e7cd6dfdd544b8f941;Dranken en voeding;"Met HOLY COW, een uniek cacao-verhaal, bieden we meer waarde en stabiliteit aan de
cacaoboeren in Kerala (India). Ontdek onze cacao en chocoladeproducten @holycow.gent. Je bestelling afhalen is mogelijk elke vrijdag of na een afspraak.";;Martelaarslaan 362;9000;Gent;0468151136;https://www.holycow-chocolate.be;hello@holycow-chocolate.com;468151136;;;;;https://www.holycow-chocolate.be;https://stad.gent/sites/default/files/webform/winkels/11588/IMG_20210604_102453.jpg
IJsster;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d9102600e5022d4da4456e13d11e8859;Dranken en voeding;Oost-Vlaamse hoevemelk en echte boter als basis, gecombineerd met de zuiverste, zorgzaam gekozen ingrediënten. Proef pure passie: laat jezelf en je geliefden keer op keer van het lekkerste roomijs, sorbet en ijsdesserts genieten.;;Boskeetstraat 19;9031;Drongen;;https://www.ijssteraanhuis.gent;geert@ijsster.be;475816083;;;;;https://www.ijssteraanhuis.gent;https://stad.gent/sites/default/files/webform/winkels/9077/__Tropisch01.jpg
Interior;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/24580455aa3167c9dd6aaa0a9ab72d4a;Wonen;Interior is een vaste waarde voor volhouten en massief design-meubilair. Alle meubelen worden in Europa speciaal voor jou (op maat) gemaakt. Slaapsystemen en matrassen kunnen worden geprobeerd. Jouw ergonomische bureaustoel helpen we uitzoeken.;;Brabantdam 173;9000;Gent;092233707;https://www.interior-gent.be;ann@interior-gent.be;476225002;;;;;https://www.interior-gent.be;https://stad.gent/sites/default/files/webform/winkels/9081/echt%20zeit%20en%20buffet.JPG
iO. Indepentend Opticians Charlotte & Sarah;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/b096704a7fd148518cf5b35def750f32;Accessoires;"Opticien - Brillen & Contactlenzen
 
iO Charlotte & Sarah biedt topkwaliteit aan een voordelige prijs. Je wordt er hartelijk ontvangen en bent welkom voor advies en informatie.";;Mageleinstraat 19;9000;Gent;;http://www.io-online.be/opticians/gent/;;;;;;;http://www.io-online.be/opticians/gent/;https://stad.gent/sites/default/files/webform/winkels/6739/79332793_3366426213430276_2254505625901858816_o.jpg
Jewellerydesign Marie-Bénédicte;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ace0c8ad85f4add17525486c119f2621;Juwelen;"Bij Jewellerydesign Marie-Bénédicte kan je terecht voor exclusieve juweelcreaties in de edelste materialen.
Je hebt een ruime keuze uit haar collectie of je laat iets volledig op jouw maat maken.";;Eehout 16;9000;Gent;09 324 56 45;https://www.mariebenedicte.com;info@mariebenedicte.com;09 324 56 45;;;;;https://www.mariebenedicte.com;https://stad.gent/sites/default/files/webform/winkels/11038/MB-okt2018-5969v2-op-zwart.jpg
Julie's House;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/a3233175f6891681dea295292cce0a4c;"Dranken en voeding;Hobby en DIY;Kinderen;Koken en tafelen;";Bij Julie's House kan je langs komen voor een heerlijk ontbijt of afternoon tea. We hebben ook heerlijke (feest)taarten. Cupcakes, taartjes, meringue, gebak,... Schattig versierd voor de jongsten, of prachtig gedecoreerd voor volwassenen.;;Kraanlei 13;9000;Gent;09233 33 90;https://www.julieshouse.be;julie@julieshouse.be;09 233 33 90;;;;;https://www.julieshouse.be;https://stad.gent/sites/default/files/webform/winkels/11543/prof_pag_foto_2.jpg
Juwelier Christiaan Van Bignoot;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/bd2ef0c9b6dd7e13acb2564a6894007e;Juwelen;"Juwelier met unieke, persoonlijke aanpak.
In alle rust jouw juweel kiezen? We nemen er graag de tijd voor en we werken heel discreet. Christiaan komt bij je thuis wanneer jij dit verkiest . Benieuwd naar onze aanpak?";;;;;;https://www.christiaanvanbignoot.com;christiaan@vanbignoot.com;478641113;;;;;https://www.christiaanvanbignoot.com;https://stad.gent/sites/default/files/webform/winkels/18519/DebbyVandeleurPhotography-16.jpg
KiddyBips;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/fd3f6f84d4359109219073f84d9953db;"Kinderen;Kleding;Speelgoed";Kiddybips is een (baby)winkel waar je naar hartelust wasbare luiers en billendoekjes, ecologisch maandverband, draagdoeken, biokledij, oerdegelijke regenkledij, verantwoord speelgoed, natuurlijke cosmetica en nog veel meer basics kunt shoppen.;;Dampoortstraat 23;9000;Gent;0478489127;https://www.kiddybips.be;;;;ja;;;https://www.kiddybips.be;https://stad.gent/sites/default/files/webform/winkels/6755/IMG_4216.JPG
L’AmuZette;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/62a339c4904b8ae103aae84635c1ab09;"Accessoires;Boeken;Dranken en voeding;Hobby en DIY;Juwelen;Kinderen;Koken en tafelen;Planten en bloemen;Speelgoed;Wonen";Concept store met woonaccessoires, meubilair en cadeaus voor alle leeftijden. Alsook een assortiment aan artisanale dranken.;;Krommewal 2;9000;Gent;093982980;https://www.lamuzette.be/;info@lamuzette.be;93982980;;;;;https://www.lamuzette.be/;https://stad.gent/sites/default/files/webform/winkels/7587/Bekijk%20recente%20foto%27s.png
Lederwaren Diego;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/b35c084d32556e8544fa5b85bb0a806e;Accessoires;"Speciaalzaak in bagage, handtassen, schooltassen, businesstassen en kleine lederwaren. Cadeaubon voor de eindejaarsfeesten,
 binnenbrengen en afhalen van schoenen voor herstelling, sleutels bijmaken tijdens de afhaalmomenten.";;Zwijnaardsesteenweg 27;9000;Gent;09/220 11 11;https://lederwarendiego.be/;lederwarendiego@telenet.be;09/220 11 11;;;;;https://lederwarendiego.be/;https://stad.gent/sites/default/files/webform/winkels/7106/IMG_0168.jpg
Leonidas Gent;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/955db5e02ab9e5a2cd72f0bfb2b30dbf;Dranken en voeding;"Wist je dat de meest iconische praline van het land puur Gents is? Inderdaad, de Manon van Leonidas zag het levenslicht in de Gentse Veldstraat. Meer dan 100 jaar later blijven we de harten van vele Gentenaars bekoren met de lekkerste chocolade. Leonidas Gent heeft vier vestigingen in de stad:
Gent Belfort, Emile Braunplein 13
Gent Kouter, Zonnestraat 3
Gent Graslei, Graslei 2a
Gent Vrijdagmarkt, Grootkanonplein 9";;Emile Braunplein 13;9000;Gent;093980944;https://iamsweet.be/;lekkers@voorzoetemensen.be;486250150;;;;;https://iamsweet.be/;https://communicatie-digitaal.gent.be/kooplokaal/leonidasgent.jpg
Les Soeurs;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/800b7fe78835cdc006a64ee22fa6985f;"Accessoires;Beauty;Boeken;Juwelen;Kleding;Schoenen;Wonen";Les Soeurs, de heilige driehoek. Drie zussen met een full-time passie voor mode en accessoires verzamelen de laatste mode-musthaves voor jou!;;Brabantdam 15;9000;Gent;092812896;http://www.lessoeurs.be;;;;;;;http://www.lessoeurs.be;https://stad.gent/sites/default/files/webform/winkels/6726/Foto%202-09-19%2016%2010%2004.jpg
Lily & Roses;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/2ba5aaedaf1fbf3dc9440f64d3353451;Hobby en DIY;Wenskaarten en zo veel meer via webshop. Digitaal, handgemaakt of handgetekend, wenskaarten, kadoosjes of originele inlijstingen. Met veel liefde en goesting gemaakt!;;Hilarius Bertolfstraat 58;9050;Ledeberg;;https://Lily-Roses.be;info@lily-roses.be;472958659;;;;;https://Lily-Roses.be;https://stad.gent/sites/default/files/webform/winkels/7656/IMG_9630.jpg
Lingerie Aphrodite;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/5330b0bb47e647258e23e7b095619768;"Beauty;Kleding";"Met het hart op de juiste plaats en een passie voor het vak.
 Lingerie,ondergoed&badmode voor dames en heren! Deskundig advies bij het vinden&passen van de juiste beha.
 Marie Jo, L'aventure, PrimaDonna, Twist, Empreinte, Schiesser, Lords&Lilies...";;Dendermondsesteenweg 353;9040;Sint-Amandsberg;092281664;https://www.lingerieaphrodite.be/nl;elscannie@hotmail.com;475337521;;ja;;;https://www.lingerieaphrodite.be/nl;https://stad.gent/sites/default/files/webform/winkels/7262/aphrodite.jpg
Liu Jo;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/03f9ac9f47fab9e9fbbb0701573b94dd;"Accessoires;Kleding";Wij zijn een boetiek die exclusief de kledij van Liu Jo verkoopt. Bij ons kan u terecht voor een volledige outfit voor elke gelegenheid.;;Brabantdam 18;9000;Gent;09 225 39 76;https://www.bikai.be/merk/liu-jo/;benoit@bikai.be;477684761;;;;;https://www.bikai.be/merk/liu-jo/;https://communicatie-digitaal.gent.be/kooplokaal/LiuJo.jpg
Lysterinck;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/7d63b3711d520f627e0949291a8972bf;Wonen;Bij Lysterinck kan je terecht voor eenvoudige, verfijnde lijsten op maat en originele, ingelijste kunst van jonge kunstenaars.;;Onderbergen 21;9000;Gent;09 398 30 40;https://www.lysterinck.com;info@lysterinck.com;09 398 30 40;;;;;https://www.lysterinck.com;https://stad.gent/sites/default/files/webform/winkels/7696/IMG_5890.jpg
MANFIELD;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ba38abbe085b52f8789fd79bb2e8201f;Schoenen;Stijlvolle dames- en herenschoenen shop je bij Manfield. Enkellaarsjes, pumps, veterschoenen, loafers, biker boots en nog veel meer! Ontdek onze winkel in het historisch postgebouw in hartje Gent.;;Korenmarkt 16;9000;Gent;09 397 17 40;https://https://www.manfield.com/winkels/;filiaal984@manfield.nl;093971740;;;;;https://https://www.manfield.com/winkels/;https://stad.gent/sites/default/files/webform/winkels/10660/IMG_20210423_114913_0.jpg
Miauwoef;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/9f73d48f3ff7308ed98a92e3bd8f0cc6;"Accessoires;Huisdieren";De betrouwbare dierenwinkel, gespecialiseerd in honden- en kattenbenodigdheden.;;Baudelostraat 15/001;9000;Gent;0475880117;https://www.miauwoef.com;info@miauwoef.com;475880117;;;;;https://www.miauwoef.com;https://stad.gent/sites/default/files/webform/winkels/11773/20210603_114743%20%28002%29.jpg
Mio Corpo Esthetic;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/88d9b697d5d6ba636a605c5d328514e3;Beauty;Mio Corpo is een esthetiek gespecialiseerd in resultaatgerichte huid- en lichaamsbehandelingen. In onze webshop vindt u vegan/bio/nikkelvrije cosmetica- en verzorgingsproducten. We go all NATURAL!;;Lozevisserstraat 7/201;9000;Gent;0499501072;https://www.miocorpoesthetic.com/;mouna.b1985@hotmail.com;499501072;;;;;https://www.miocorpoesthetic.com/;https://stad.gent/sites/default/files/webform/winkels/7102/PIC%20GENT.jpg
Nutri-Bel;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/85dde4bc6183b2c161a4751ccf5df721;Beauty;Bij Nutri-Bel kan je terecht voor een ruim gamma kwalitatieve voedingssupplementen ter ondersteuning van uw lichaam. Daarnaast bieden wij ook natuurlijke verzorgingsproducten aan voor het gelaat, het lichaam en het haar.;;Baarledorpstraat, 12;9031;Drongen;0477966155;http://www.nutri-bel.be;;;;;;;http://www.nutri-bel.be;https://stad.gent/sites/default/files/webform/winkels/6753/Foto-gevel3_bewerkt-533x400.jpg
Onda;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/4d44f1eaedd9765d631ceb5b0fc96b60;Wonen;Onda is Belgisch interieurmerk dat tegels combineert met staal. De eerste collectie bestaat uit 3 types betegelde tafels: een salontafel ‘Leo’, een consoletafel ‘Stella’ en een bijzettafel ‘Billie’. Wij maken ook tafels op maat!;;Bernheimlaan 23;9050;Gentbrugge;0468345373;https://www.onda.be/shop;elinevandeputte2@gmail.com;0468345373;;;;;https://www.onda.be/shop;https://stad.gent/sites/default/files/webform/winkels/11255/betegelde%20salontafel%20Leo%20in%20glossy%20blue.jpg
Onis Juwelen;;"Accessoires;Juwelen;Wonen";Al 15 jaar ontwerpt en vervaardigd Isabelle Onselaere unieke, exclusieve, handgemaakte juwelen, in haar winkel met atelier in Gent. Isabelle werkt uitsluitend met 18 karaat geel, wit of rosé goud, 925 sterling zilver en edelstenen, parels en diamant.;;Lange Violettestraat 1;9000;Gent;0486762582;http://www.onisjuwelen.be;;;;;;;http://www.onisjuwelen.be;
Oxfam Wereldwinkel Gentbrugge-Ledeberg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/58bacee96169b809bc0a58081cafd367;"Accessoires;Beauty;Dranken en voeding;Juwelen;Kinderen;Koken en tafelen;Speelgoed;Wonen";Bij Oxfam-Wereldwinkels vind je het ruimste assortiment fairtradeproducten van België. Met je aankoop steun je bovendien een vrijwilligersbeweging die streeft naar structurele verandering in het handelssysteem.;;Leo Tertzweillaan 2;9050;Gentbrugge;092323262;https://shop.oxfamwereldwinkels.be/gentbrugge/;webshop.gentbrugge@oxfamwereldwinkels.be;0479 24 30 11;;ja;;;https://shop.oxfamwereldwinkels.be/gentbrugge/;https://stad.gent/sites/default/files/webform/winkels/7213/webshop.JPG
Paradijsvis;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/da30d6c18fac2c134be2d81617a2846d;Huisdieren;Paradijsvis is een aquarium winkel voor zowel de startende als ervaren aquariumhouder.;;Gentstraat 150;9041;Oostakker;092770306;http://www.paradijsvis.be;;;;;;;http://www.paradijsvis.be;https://stad.gent/sites/default/files/webform/winkels/6683/IMG_20161125_095132.jpg
Paul De Winne uurwerken juwelen;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/e01a184857c3af2f6bac892b5c894e7c;Juwelen;;;Sint-Jacobsnieuwstraat 38;9000;Gent;09 225 41 74;https://www.juwelierdewinne.be;paul_dewinne@hotmail.com;92254174;;;;;https://www.juwelierdewinne.be;https://stad.gent/sites/default/files/webform/winkels/10093/Max%20Bill%20Automatik.jpg
Phiness;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/dad3af269b067cb718edf8a595d82125;"Accessoires;Schoenen";Shoes and more for Girls with a mind, Women with attitude, Ladies with class.;;Kalandestraat 18;9000;Gent;;https://www.facebook.com/phinessgent;sophie@phiness.be;497053887;;;;;https://www.facebook.com/phinessgent;https://stad.gent/sites/default/files/webform/winkels/17310/IMG_7101_0.jpg
Piano Piano;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/4a7d6d92454e313e470ad0695712d19c;Dranken en voeding;Lokale, Zuid-Italiaanse delicatessenzaak met invoer en verkoop van producten uit Puglia: wijn, olijfolie, pasta, ingelegde groenten en nog veel meer. Winkel open op afspraak en op zaterdag van 13u tot 18u. Levering aan huis ook mogelijk.;;Verbindingstraat, 2;9040;Sint-Amandsberg;0473394165;https://pianopiano.be/;info@pianopiano.be;473394165;;;;;https://pianopiano.be/;https://stad.gent/sites/default/files/webform/winkels/7291/42501239005_74fe48948c_o.jpg
Pomerans - The Essence of Skin Care;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/118d23f661c02852c8961acdb51a77a2;"Accessoires;Beauty";Pomerans is een professioneel huidverzorgingssalon gespecialiseerd in huidverbetering en permanente ontharing. Het staat voor kwalitatieve behandelingen in een rustgevend en stijlvol kader. Op de webshop vind je een mooi aanbod topproducten!;;Adolf Baeyensstraat, 113;9040;Sint-Amandsberg;0495559893;https://www.pomerans.be/webshop;info@pomerans.be;495559893;;;;;https://www.pomerans.be/webshop;https://stad.gent/sites/default/files/webform/winkels/7100/Pomerans-80509.jpg
Project Space Nina Stoupina;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/531eb0aafe4e6e2be7d7cf0da47ff049;Hobby en DIY;Dit is het platform van de kunstenaar, waar je regelmatig zijn nieuwste werken kunt zien. De expositie presenteert alleen originele werken van verschillende formaten en de kunstenaar staat klaar om uitgebreid advies te geven over hun toepassing.;;Burgstraat,, 101;9000;Gent;0477342566;http://www.art-ninastoupina.be/;ninastoupina@gmail.com;477342566;;;;;http://www.art-ninastoupina.be/;https://stad.gent/sites/default/files/webform/winkels/7151/isol33.jpg
Schoenen Claeys-Bauwens;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/5be796caece3776abdd5b274220afef2;Schoenen;Speciaalzaak voor schoenen met losse steunzolen.;;burgstraat 100;9000;Gent;092253017;http://www.claeysbauwens.be;;;;;;;http://www.claeysbauwens.be;https://stad.gent/sites/default/files/webform/winkels/6752/9709.8614-Durea-N20-HR.jpg
Shortlist;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/a6454f28f291a34d104fa5348caebd1d;"Accessoires;Boeken;Koken en tafelen;Wonen";Kom helemaal tot rust in onze winkel. Geen overvolle rekken, wel een een zorgvuldig samengestelde collectie van alledaagse producten met een verhaal. Van Japan tot het Hoge Noorden. Degelijk gemaakt, minimalistisch en tijdloos. Welkom!;;Burgstraat 147;9000;Gent;;https://shortlist.store;joachim@shortlist.store;0479 25 89 00;;;;;https://shortlist.store;https://stad.gent/sites/default/files/webform/winkels/7777/shortlist-store-ghent--carefully-curated-everyday-objects_2000px.jpg
Slagerij Henk;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/401908c8ccef9d3a965ae28c3c1ed1c5;Dranken en voeding;"Slagerij Henk staat voor kwaliteit: 95 % van onze producten zijn huisbereid, van ham tot salami! 
Uniek is ons slim gekoeld afhaalsysteem: je ontvangt een code om je bestelling 24/7 af te halen in onze Versbox, zonder wachtrij én contactloos.";;André De Bruynestraat 7;9030;Mariakerke;092264467;http://www.meattime.be/slagerijhenk;;;;;;;http://www.meattime.be/slagerijhenk;https://stad.gent/sites/default/files/webform/winkels/6686/slagerij.jpg
Sliding Tiger;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/9c919d137707c3ffaec748484b0ef344;"Hobby en DIY;Speelgoed;Sport";Een van de grootste inline skate winkels in België. Wij hebben inline skates van alle grote merken en alle onderdelen en accesoires. Ook steps, stunt steps en schaatsen.;;Dampoortstraat 70;9000;Gent;0493848591;https://www.slidingtiger.eu/nl/Home/Index;info@slidingtiger.eu;#ERROR!;;;;;https://www.slidingtiger.eu/nl/Home/Index;https://stad.gent/sites/default/files/webform/winkels/6799/Sliding%20Tiger%20Photo%20Front%20View.jpg
Soie Unique Stoffen;;Hobby en DIY;We hebben een groot en divers aanbod van mode - en decoratiestoffen.;;Jacques Eggermontstraat 63;9050;Ledeberg;0476942699;https://soie-unique.be/;celine@soie-unique.be;476942699;;;;;https://soie-unique.be/;
Sophie's Sweets & Chocolates;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/a0a249eb2deff539c572978adbfce0b9;Dranken en voeding;Lokale producten naar eeuwenoude recepten zijn er nog steeds te vinden, maar dan wel met extra aandacht voor duurzaamheid en een gezonde levenshouding. Kom eens een kijkje nemen in onze winkel die uw zintuigen en verbeelding tegelijk prikkelen.;;Botermarkt 9;9000;Gent;0477 74 28 30;http://www.sophies.be/;info@sophies.be;0477 74 28 30;;;;;http://www.sophies.be/;https://stad.gent/sites/default/files/webform/winkels/11914/IMG_20180219_113235.jpg
Speurder interieur;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/f849c5b74808d6cba02ca4a5d809c210;Wonen;We zijn een familiebedrijf sinds meer dan 70 jaar. Wij trachten met een uitgebreid assortiment het volledige gamma voor de aankleding van de woning te verzorgen. Raamdecoratie en wandbekleding worden op een stijlvolle wijze gepresenteerd.;;Hundelgemsesteenweg 27;9050;Ledeberg;09.230.30.23;https://speurder.be/;info@speurder.be;09.230.30.23;;;;;https://speurder.be/;https://stad.gent/sites/default/files/webform/winkels/10175/speurder_original.jpg
STREET;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/442d6d3c4d6c9c2bd57179ca47ac8fd2;"Accessoires;Juwelen;Kleding;Schoenen";STREET is een edgy shop met een eigen piercing- en tattoostudio. Je vindt bij ons een ruim aanbod aan juwelen, piercings, kleding, accessoires en andere originele gadgets. Van retro & rockabilly, over hippie & reggae, tot gothic & punk.;;Hoogpoort 26;9000;Gent;0488408321;https://streetsince1990.be;info@street.be;;;;;;https://streetsince1990.be;https://stad.gent/sites/default/files/webform/winkels/16665/STREET.JPG
Studio Cro;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/450092a812c532719eb26ef9a2002038;"Accessoires;Beauty;Juwelen";"Piercingstudio:

25 jaar ervaring !!!

Gekend voor Daith-Migraine-Piercing
En natuurlijk Alle piercings

Fb: Piercings by Cro at Studio Cro
Insta: #piercingsbycro #studio.cro

Niet bellen

Groetjes Cro";;Zuidstationstraat 6;9000;Gent;;https://www.piercingstudiocro.com;cro.van.vooren@gmail.com;494712633;;;;;https://www.piercingstudiocro.com;https://stad.gent/sites/default/files/webform/winkels/11848/image_0.jpg
Studio Jo'zi;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/8f1175b100739d82d241066d82f9add5;Hobby en DIY;Onze DIY-pakketten zijn het ideale cadeau aan jezelf, om je gedachten te verzetten of je kan samen met familie en/of vrienden, al dan niet digitaal een creatief momentje delen. Met onze DIY-pakketten maak je er iets origineels en gezelligs van!;;Kleine Kerkstraat 33;9050;Ledeberg;;https://www.studiojozi.be;hello@studiojozi.be;496082838;;;;;https://www.studiojozi.be;https://stad.gent/sites/default/files/webform/winkels/7820/Alle%20producten%20diy%20canva.png
Sucker Punch Skate Shop;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/6bc1fe3a57af9264a7a09bbd7162708f;"Kinderen;Speelgoed;Sport";"De nostalgie van rolschaatsen? Die vind je helemaal terug in onze winkel! 
 We zijn dé specialisten in rolschaatsen in de BeNeLux en ver daar buiten. Bij ons vind je rolschaatsen en alle toebehoren, maar we herstellen ook je oude rolschaatsen!";;Reep 24;9000;Gent;;https://www.suckerpunchskateshop.com/nl/;info@suckerpunchskateshop.com;472533340;;;;;https://www.suckerpunchskateshop.com/nl/;https://stad.gent/sites/default/files/webform/winkels/6805/IMG_0904.jpg
t Fabriekske;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/9349ea61b80d85d23a7113a8af4af346;Schoenen;"onze nieuwe en outlet collectie van onze schoenen is zo groot.
Je kan alles ontdekken op onze webshop";;Koningsdal 32;9000;Gent;092278249;http://www.schoenenverduyn.be;;;;;;;http://www.schoenenverduyn.be;https://communicatie-digitaal.gent.be/kooplokaal/tfabriekske.jpg
Tache de Beauté;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/a58d6cc3c2e31c0c933a0df28b44cd9d;Beauty;Meer dan 30 jaar ervaring. Gespecialiseerd in huidverbetering (Environ, Christina), make up (Jane Iredale), permanente make up en permanente ontharing. Je komt terecht in een sfeervol en rustgevend kader opdat je een bijzonder moment zou ervaren!;;Tolhuislaan 103;9000;Gent;093772384;https://www.tachedebeaute.com;info@tachedebeaute.com;93772384;;;;;https://www.tachedebeaute.com;https://stad.gent/sites/default/files/webform/winkels/11860/pasfoto.jpg
